placename,oc_lat,oc_lng,oc_formatted
"A L Pedersensvej 3, 8961 Allingåbro",56.4649,10.3341,"8961, Denmark"
"Industrivej Syd 1, 7490 Aulum",56.257959,8.792371,"Industrivej Syd 1, 7490 Aulum, Denmark"
"Søndergade 13b, 7860 Spøttrup",56.611832,8.879895,"Søndergade 13B, 7860 Spøttrup, Denmark"
"Vestergade 101, 8850 Bjerringbro",56.370899,9.630651,"Vestergade 101, 8850 Bjerringbro, Denmark"
"Brandlundvej 25, 7330 Brande",55.943049,9.115927,"Brandlundvej 25B, 7330 Brande, Denmark"
"Vestervangen 5G, 8740 Brædstrup",55.971332,9.606569,"Vestervangen 5G, 8740 Brædstrup, Denmark"
"Vilholmvej 4A, 7870 Roslev",56.743734,8.960853,"Vilholmvej 4A, 7870 Roslev, Denmark"
"Falcksvej 1, 8400 Ebeltoft",56.190965,10.671265,"Falcksvej 1, 8400 Ebeltoft, Denmark"
"Marktoften 1, 8464 Galten",56.148753,9.929416,"Marktoften 1, 8464 Galten, Denmark"
"Hadsundvej 551, 8983 Gjerlev",56.586078,10.124177,"Hadsundvej 551, 8983 Gjerlev, Denmark"
"Gammel Horsensvej 403, 8660 Skanderborg",55.98737,10.021714,"Gammel Horsensvej 403, 8660 Skanderborg, Denmark"
"Laenvej 29-31, 8585 Glesborg",56.4712059,10.715948,"Laenvej, Glesborg, Denmark"
"Sundhedshuset, Kløvervang 69-71, 8500 Grenå",56.4158,10.8782,"8500, Denmark"
"Ginneruplundvej 1, 8370 Hadsten",56.317773,10.044012,"Ginneruplundvej 1, 8370 Hadsten, Denmark"
"Ny Tilemannsvej 2, 8450 Hammel",56.257598,9.859092,"Ny Tilemannsvej 2, 8450 Hammel, Denmark"
"Lundagervej 16b, 8722 Hedensted",55.793542,9.675966,"Lundagervej 16, 8722 Hedensted, Denmark"
"H.P. Hansens Vej 112, 7400 Herning",56.144196,8.942126,"H.P. Hansens Vej 112, 7400 Herning, Denmark"
"Knudsvej 2, 7400 Herning",56.131545,8.992084,"Knudsvej 2, 7400 Herning, Denmark"
"Samsøvej 2, 8382 Hinnerup",56.253128,10.069576,"Samsøvej 2, 8382 Hinnerup, Denmark"
"Sundhedshuset, Stationsvej 31, 7500 Holstebro",56.3601,8.6161,"7500, Denmark"
"Frøjkvej 2, 7500 Holstebro",56.360344,8.610015,"Frøjkvej 2, 7500 Holstebro, Denmark"
"Borupvej 2, 8543 Hornslet",56.322333,10.300835,"Borupvej 2, 8543 Hornslet, Denmark"
"Søndergade 18, 8783 Hornsyld",55.754862,9.850176,"Søndergade 18, 8783 Hornsyld, Denmark"
"Sverigesvej 17C, 8700 Horsens",55.856875,9.817478,"Sverigesvej 17C, 8700 Horsens, Denmark"
"Nørregade 84, 6960 Hvide Sande",56.014969,8.129306,"Nørregade 84, 6960 Hvide, Denmark"
"Kirkegade 104, 7430 Ikast",56.129951,9.149038,"Kirkegade 104, 7430 Ikast, Denmark"
"Gammelgårdsvej 6, 7130 Juelsminde",55.711234,9.968377,"Gammelgårdsvej 6, 7130 Juelsminde, Denmark"
"Gl. Banevej 19, 7470 Karup J",56.308677,9.18021,"Gammel Banevej 19, 7470 Karup, Denmark"
"Søndergade 69, 8620 Kjellerup",56.284021,9.432845,"Søndergade 69, 8620 Kjellerup, Denmark"
"Romlehøjvej 5, 8560 Kolind",56.356023,10.571545,"Romlehøjvej 5, 8560 Kolind, Denmark"
"Væthvej 2, 8870 Langå",56.3981832,9.9202589,"Væthvej, 8870 Langå, Denmark"
"Vangevej 8, 7629 Lemvig",56.546936,8.294843,"Vangevej 8, 7620 Lemvig, Denmark"
"Falkevej 2, 8766 Nørre Snede",55.963158,9.399282,"Falkevej 2, 8766 Nørre, Denmark"
"Rønhøjvej 7, 8300 Odder",55.984622,10.142268,"Rønhøjvej 7, 8300 Odder, Denmark"
"Skovlyvej 15, 8930 Randers NØ",56.47055,10.050184,"Skovlyvej 15, 8930 Randers NØ, Denmark"
"Ribevej 3, 8940 Randers SV",56.437193,10.049876,"Ribevej 3, 8940 Randers SV, Denmark"
"Vester Strandsbjerg 25, 6950 Ringkøbing",56.0889235,8.2404424,"Vester Strandsbjerg, 6950 Ringkøbing, Denmark"
"Sundhedshuset, Nørreport 18, 6950 Ringkøbing",56.0901,8.244,"6950, Denmark"
"Brunhøjvej 13, 8680 Ry",56.086903,9.778796,"Brunhøjvej 13, 8680 Ry, Denmark"
"Bækkelundsvej 2, 8410 Rønde",56.30281,10.463677,"Bækkelundsvej 2, 8410 Rønde, Denmark"
"Kejlstrupvej 99D, 8600 Silkeborg",56.19301,9.554688,"Kejlstrupvej 99D, 8600 Silkeborg, Denmark"
"Vestergade 131, 8660 Skanderborg",56.038686,9.914984,"Vestergade 131, 8660 Skanderborg, Denmark"
"Engvej 4-6, 7800 Skive",56.5694154,9.0404889,"Engvej, 7800 Skive, Denmark"
"Bredgade 71, 7600 Struer",56.481664,8.590038,"Bredgade 71, 7600 Struer, Denmark"
"Bjergvej 24, 7280 Sdr. Felding",55.558244,8.123399,"Bjergvej 24, 6857 Blåvand, Denmark"
"Nørremarksvej 2, 6880 Tarm",55.911422,8.535071,"Nørremarksvej 2, 6880 Tarm, Denmark"
"Industrivej 25, 8305 Samsø",55.83598,10.601726,"Industrivej 25, 8305 Samsø, Denmark"
"Torstedvej 4-8, 6990 Ulfborg",56.1972177,8.3186666,"Torstedvej, 6980 Tim, Denmark"
"Fabrikvej 5, 8800 Viborg",56.467857,9.401169,"Fabrikvej 5, 8800 Viborg, Denmark"
"Nygade 8, 6920 Videbæk",56.093442,8.632718,"Nygade 8, 6920 Videbæk, Denmark"
"Nr. Bjertvej 17, 7830 Vinderup",56.474574,8.762681,"Nørre Bjertvej 17, 7830 Vinderup, Denmark"
"Korshøjvej 2, 8600 Silkeborg",56.134937,9.566645,"Korshøjvej 2, 8600 Silkeborg, Denmark"
"Ny Munkegade 15, 8000 Aarhus C",56.161567,10.203182,"Ny Munkegade 15, 8000 Aarhus C, Denmark"
"Olof Palmes Allé 32, 8200 Aarhus N",56.190073,10.187895,"Olof Palmes Allé 32, 8200 Aarhus N, Denmark"
"Stokagervej 8A, 8240 Risskov",56.207989,10.229576,"Stokagervej 8A, 8240 Risskov, Denmark"
"Søren Nymarksvej 6 W, 8270 Højbjerg",56.1112,10.2099,"8270, Denmark"
"Bautavej 5, 8210 Aarhus V",56.166229,10.146567,"Bautavej 5, 8210 Aarhus V, Denmark"
"Sdr Omfartsvej 1, 9700 Brønderslev",57.274417,9.924764,"Sdr Omfartsvej 1, 9700 Brønderslev, Denmark"
"Slotsgade 38, 9330 Dronninglund",57.15901,10.29416,"Slotsgade 38, 9330 Dronninglund, Denmark"
"H.C. Ørsteds Vej 35, 9900 Frederikshavn",57.441159,10.496047,"H.C. Ørsteds Vej 35, 9900 Frederikshavn, Denmark"
"Frederikshavnsvej 33, 9800 Hjørring",57.45608,10.004928,"Frederikshavnsvej 33, 9800 Hjørring, Denmark"
"Byrum Hovedgade 19A, 9940 Læsø",57.257809,10.989621,"Byrum Hovedgade 19A, 9940 Læsø, Denmark"
